file                                       parity/total   setup_ok   timing summary
cte.slt                                    2/32           6/18       n=2 ratio(duck/sloth) median=2.33x p10=1.51x p90=2.33x sloth_total=0ms duck_total=1ms
date_bin_errors.slt                        0/6            0/0        n=0
ddl.slt                                    1/40           15/110     n=1 ratio(duck/sloth) median=3.52x p10=3.52x p90=3.52x sloth_total=0ms duck_total=0ms
decimal.slt                                13/144         2/6        n=13 ratio(duck/sloth) median=4.94x p10=4.34x p90=6.18x sloth_total=1ms duck_total=4ms
delete.slt                                 0/0            1/1        n=0
describe.slt                               1/2            2/8        n=1 ratio(duck/sloth) median=2.48x p10=2.48x p90=2.48x sloth_total=0ms duck_total=0ms
dictionary.slt                             0/18           0/16       n=0
dictionary_struct.slt                      0/13           0/0        n=0
distinct_on.slt                            0/9            0/4        n=0
dml_delete.slt                             2/20           6/20       n=2 ratio(duck/sloth) median=5.27x p10=2.12x p90=5.27x sloth_total=0ms duck_total=1ms
dml_update.slt                             4/24           15/31      n=4 ratio(duck/sloth) median=3.72x p10=2.25x p90=3.99x sloth_total=0ms duck_total=1ms
dynamic_file.slt                           0/21           0/2        n=0
dynamic_filter_pushdown_config.slt         0/15           0/25       n=0
eliminate_outer_join.slt                   16/24          6/6        n=16 ratio(duck/sloth) median=5.44x p10=4.29x p90=11.20x sloth_total=3ms duck_total=15ms
encoding.slt                               0/23           0/5        n=0
encrypted_parquet.slt                      0/7            1/3        n=0
errors.slt                                 0/2            1/2        n=0
explain.slt                                0/0            4/10       n=0
explain_analyze.slt                        0/4            0/13       n=0
explain_tree.slt                           0/4            2/26       n=0
expr.slt                                   29/362         2/18       n=29 ratio(duck/sloth) median=5.05x p10=3.04x p90=7.91x sloth_total=2ms duck_total=9ms
filter_without_sort_exec.slt               0/2            0/4        n=0
float16.slt                                0/5            0/4        n=0
floor_preimage.slt                         0/17           0/2        n=0
functions.slt                              55/186         8/37       n=55 ratio(duck/sloth) median=5.42x p10=4.25x p90=7.22x sloth_total=3ms duck_total=19ms
group.slt                                  0/25           0/12       n=0
group_by.slt                               114/414        24/113     n=114 ratio(duck/sloth) median=6.50x p10=5.50x p90=11.75x sloth_total=8ms duck_total=66ms
grouping.slt                               0/15           0/1        n=0
grouping_set_repartition.slt               0/3            0/6        n=0
ident_normalization.slt                    3/5            5/13       n=3 ratio(duck/sloth) median=4.36x p10=2.70x p90=5.82x sloth_total=0ms duck_total=1ms
identifiers.slt                            0/11           0/4        n=0
imdb.slt                                   0/113          63/63      n=0
information_schema.slt                     0/13           2/29       n=0
information_schema_columns.slt             0/1            0/3        n=0
information_schema_multiple_catalogs.slt   0/2            0/10       n=0
information_schema_table_types.slt         0/1            0/4        n=0
inner_product.slt                          0/23           0/0        n=0
insert.slt                                 1/28           4/22       n=1 ratio(duck/sloth) median=4.04x p10=4.04x p90=4.04x sloth_total=0ms duck_total=0ms
insert_to_external.slt                     0/48           0/30       n=0
intersection.slt                           0/4            0/1        n=0
issue_17138.slt                            0/2            2/2        n=0
join_disable_repartition_joins.slt         0/2            0/1        n=0
join_is_not_distinct_from.slt              0/7            15/15      n=0
join_limit_pushdown.slt                    0/10           0/6        n=0
join_lists.slt                             0/2            0/4        n=0
join_only.slt                              0/0            0/0        n=0
joins.slt                                  1/157          35/152     n=1 ratio(duck/sloth) median=34.87x p10=34.87x p90=34.87x sloth_total=0ms duck_total=2ms
json.slt                                   0/9            0/7        n=0
lateral_join.slt                           0/49           0/12       n=0
lead_lag_extreme_offsets.slt               0/7            0/1        n=0
limit.slt                                  1/51           1/19       n=1 ratio(duck/sloth) median=4.46x p10=4.46x p90=4.46x sloth_total=0ms duck_total=0ms
limit_pruning.slt                          0/2            0/9        n=0
limit_single_row_batches.slt               0/1            0/2        n=0
list_view.slt                              0/2            0/2        n=0
listing_table_partitions.slt               0/15           0/4        n=0
listing_table_statistics.slt               0/0            0/4        n=0
map.slt                                    0/107          0/10       n=0
math.slt                                   3/81           3/9        n=3 ratio(duck/sloth) median=4.91x p10=2.94x p90=5.42x sloth_total=0ms duck_total=1ms
metadata.slt                               0/47           0/2        n=0
misc.slt                                   3/4            0/0        n=3 ratio(duck/sloth) median=5.11x p10=4.02x p90=6.69x sloth_total=0ms duck_total=1ms
monotonic_projection_test.slt              0/0            0/1        n=0
named_arguments.slt                        1/21           0/2        n=1 ratio(duck/sloth) median=2.71x p10=2.71x p90=2.71x sloth_total=0ms duck_total=1ms
nested_loop_join_spill.slt                 0/4            0/0        n=0
null_aware_anti_join.slt                   0/20           2/32       n=0
nullif.slt                                 7/24           0/3        n=7 ratio(duck/sloth) median=6.38x p10=4.38x p90=9.36x sloth_total=0ms duck_total=2ms
nvl.slt                                    0/15           0/1        n=0
nvl2.slt                                   0/8            0/1        n=0
operator.slt                               0/13           0/2        n=0
optimizer_group_by_constant.slt            0/0            0/1        n=0
options.slt                                3/30           0/2        n=3 ratio(duck/sloth) median=4.97x p10=2.89x p90=5.44x sloth_total=0ms duck_total=1ms
order.slt                                  1/68           0/35       n=1 ratio(duck/sloth) median=2.20x p10=2.20x p90=2.20x sloth_total=1ms duck_total=1ms
parquet.slt                                0/46           3/48       n=0
parquet_cdc.slt                            0/17           0/9        n=0
parquet_filter_pushdown.slt                0/32           0/31       n=0
parquet_sorted_statistics.slt              0/3            0/10       n=0
parquet_statistics.slt                     0/3            0/8        n=0
pipe_operator.slt                          0/14           0/1        n=0
predicates.slt                             0/63           0/21       n=0
prepare.slt                                0/20           0/36       n=0
preserve_file_partitioning.slt             0/27           0/10       n=0
projection.slt                             0/12           0/16       n=0
projection_pushdown.slt                    0/74           0/19       n=0
propagate_empty_relation_outer_join.slt    0/6            6/6        n=0
push_down_filter_outer_joins.slt           6/12           6/6        n=6 ratio(duck/sloth) median=6.89x p10=3.80x p90=12.89x sloth_total=1ms duck_total=5ms
push_down_filter_parquet.slt               0/9            0/80       n=0
push_down_filter_regression.slt            0/11           0/34       n=0
push_down_filter_unnest.slt                0/6            0/6        n=0
pwmj.slt                                   0/9            8/8        n=0
qualify.slt                                0/19           0/2        n=0
references.slt                             0/7            0/4        n=0
repartition.slt                            0/2            3/7        n=0
repartition_scan.slt                       0/5            0/16       n=0
repartition_subset_satisfaction.slt        0/10           0/7        n=0
run_end_encoded.slt                        0/4            0/1        n=0
same_column_name_cross_join.slt            0/4            6/6        n=0
scalar.slt                                 57/252         0/20       n=57 ratio(duck/sloth) median=5.04x p10=3.68x p90=6.21x sloth_total=3ms duck_total=16ms
schema_evolution.slt                       0/19           0/5        n=0
schema_evolution_nested.slt                0/4            0/6        n=0
